Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,681.750000,693.109985,680.000000,693.059998,693.059998,0
2016-07-01,692.750000,699.159973,692.679993,696.390015,696.390015,0
2016-07-05,694.409973,694.409973,684.049988,687.479980,687.479980,0
2016-07-06,685.510010,693.359985,683.690002,693.059998,693.059998,0
2016-07-07,693.859985,698.719971,691.650024,695.989990,695.989990,0
2016-07-08,698.030029,712.869995,698.030029,712.320007,712.320007,0
2016-07-11,713.729980,720.729980,713.729980,719.280029,719.280029,0
2016-07-12,721.469971,730.650024,721.469971,726.909973,726.909973,0
2016-07-13,727.909973,730.059998,721.900024,722.650024,722.650024,0
2016-07-14,724.710022,727.590027,722.619995,722.770020,722.770020,0
2016-07-15,724.390015,726.289978,722.640015,724.450012,724.450012,0
2016-07-18,724.419983,727.919983,723.090027,726.169983,726.169983,0
2016-07-19,725.659973,726.109985,720.039978,721.030029,721.030029,0
2016-07-20,722.179993,730.500000,721.669983,729.229980,729.229980,0
2016-07-21,729.179993,731.599976,723.080017,724.940002,724.940002,0
2016-07-22,725.239990,732.330017,724.280029,731.489990,731.489990,0
2016-07-25,731.440002,731.469971,728.349976,730.049988,730.049988,0
2016-07-26,729.750000,734.479980,728.989990,733.789978,733.789978,0
2016-07-27,734.599976,737.309998,732.869995,736.549988,736.549988,0
2016-07-28,736.169983,738.280029,734.729980,736.919983,736.919983,0
2016-07-29,736.460022,741.229980,731.679993,738.159973,738.159973,0
2016-08-01,738.440002,742.270020,735.440002,740.000000,740.000000,0
2016-08-02,739.229980,739.229980,726.510010,728.950012,728.950012,0
2016-08-03,728.030029,734.280029,726.260010,734.260010,734.260010,0
2016-08-04,734.489990,738.479980,734.140015,735.239990,735.239990,0
2016-08-05,737.130005,744.890015,737.130005,743.820007,743.820007,0
2016-08-08,744.289978,746.340027,741.140015,742.280029,742.280029,0
2016-08-09,742.549988,744.719971,741.330017,743.789978,743.789978,0
2016-08-10,743.880005,744.340027,736.200012,738.390015,738.390015,0
2016-08-11,739.510010,743.299988,738.400024,742.429993,742.429993,0
2016-08-12,742.109985,744.210022,740.760010,743.719971,743.719971,0
2016-08-15,744.580017,752.059998,744.580017,750.739990,750.739990,0
2016-08-16,749.710022,749.710022,742.979980,743.260010,743.260010,0
2016-08-17,743.159973,743.159973,736.580017,740.010010,740.010010,0
2016-08-18,739.890015,744.989990,739.429993,744.989990,744.989990,0
2016-08-19,744.159973,745.770020,741.979980,745.159973,745.159973,0
2016-08-22,744.530029,747.750000,742.520020,747.609985,747.609985,0
2016-08-23,749.159973,754.960022,749.159973,753.440002,753.440002,0
2016-08-24,753.059998,754.489990,743.869995,745.000000,745.000000,0
2016-08-25,744.409973,748.679993,742.640015,745.599976,745.599976,0
2016-08-26,745.809998,752.080017,741.109985,745.549988,745.549988,0
2016-08-29,746.150024,751.320007,746.150024,749.109985,749.109985,0
2016-08-30,749.049988,751.679993,747.210022,749.940002,749.940002,0
2016-08-31,749.549988,749.549988,741.619995,745.450012,745.450012,0
2016-09-01,745.719971,747.760010,740.440002,747.559998,747.559998,0
2016-09-02,748.979980,754.049988,748.979980,754.049988,754.049988,0
2016-09-06,754.789978,756.559998,751.830017,756.559998,756.559998,0
2016-09-07,756.409973,760.419983,755.510010,760.349976,760.349976,0
2016-09-08,759.669983,759.669983,756.340027,758.000000,758.000000,0
2016-09-09,755.219971,755.219971,733.809998,733.820007,733.820007,0
2016-09-12,732.090027,745.390015,729.250000,745.380005,745.380005,0
2016-09-13,743.840027,743.840027,727.840027,731.950012,731.950012,0
